so_hop_dong_dummy;ma_cong_ty;ma_loai_tai_san;doi_tac;ma_trai_phieu;ma_nganh;ky_han_goc;so_luong_trai_phieu;gia_mua;menh_gia;lai_suat_ban_dau;ngay_hop_dong;ngay_dao_han;ngay_dao_han_thuc_te;cam_ket_mua_lai;ben_cam_ket_mua_lai;bao_lanh_thanh_toan;ngan_hang_bao_lanh;gia_tri_bao_lanh
CBOND_BBC_BANK_COL-BCM-4486245044;PVIAM;CBOND_BBC_BANK_COL;BCM;BCM;601020;;100;1012724;;0,105;44862;45044;;FALSE;;FALSE;;
CBOND_BBC_BANK_COL-BCM-4486645050;PVIAM;CBOND_BBC_BANK_COL;BCM;BCM;601020;;200;1013907;;0,105;44866;45050;;TRUE;VPB;FALSE;;
CBOND_BBC_BANK_COL-BCM-4488245063;PVIAM;CBOND_BBC_BANK_COL;BCM;BCM;601020;;159;1018642;1000000;0,105;44882;45063;;FALSE;;FALSE;;
CBOND_COL-BCM2023-4528545519;PVIAM;CBOND_COL;BCM;BCM2023;601020;;302;1000000;1000000;0,109;45285;45519;;FALSE;;FALSE;;
CBOND_COL-BCMBOND_20.14-4528245519;PVIAM;CBOND_COL;BCM;BCMBOND_20.14;601020;;240;1000000;1000000;0,109;45282;45519;;FALSE;;TRUE;NaviBank;
CBOND_COL-BCMBOND_20.15-4528245519;PVIAM;CBOND_COL;BCM;BCMBOND_20.15;601020;;328;1000000;1000000;0,109;45282;45519;;FALSE;;FALSE;;
CBOND_COL-BCM2023-4503045519;PVIAM;CBOND_COL;BCM;BCM2023;601020;;10;1000000;1000000;0,115;45030;45519;;FALSE;;FALSE;;
CBOND_COL-BCM2023-4506845519;PVIAM;CBOND_COL;BCM;BCM2023;601020;;204;1002493;1000000;0,115;45068;45519;;FALSE;;FALSE;;
CBOND_COL-BCM2023-4509345519;PVIAM;CBOND_COL;BCM;BCM2023;601020;;20;1000000;1000000;0,115;45093;45519;;FALSE;;TRUE;NaviBank;
CBOND_COL-BCMH2126001-4546446106;PVIAM;CBOND_COL;BCM;BCMH2126001;601020;;38977;1028340,151;1000000;0,087;45464;46106;;FALSE;;FALSE;;
CBOND_COL-BCM2023-4513145519;PVIAM;CBOND_COL;BCM;BCM2023;601020;;10;1000000;1000000;0,115;45131;45519;;FALSE;;FALSE;;
CBOND_COL-BCM2023-4516046939;PVIAM;CBOND_COL;BCM;BCM2023;601020;;3500;100000000;100000000;0,115;45160;46939;;FALSE;;FALSE;;
CBOND_COL-BCMH2328001 -4516046939;PVIAM;CBOND_COL;BCM;BCMH2328001 ;601020;;850;100000000;100000000;0,115;45160;46939;;FALSE;;FALSE;;
CBOND_BBC_FIN_COL-BIDH2230002-4509645110;PVIAM;CBOND_BBC_FIN_COL;BID;BIDH2230002;401010;;10;;100000;0,08;45096;45110;;FALSE;;FALSE;;
BBOND_02Y_G1-BID12203-4513845208;PVIAM;BBOND_02Y_G1;BID;BID12203;401010;;750000;96813;100000;0,081;45138;45208;;FALSE;;FALSE;;
BBOND_02Y_G1-BID12203-4515445202;PVIAM;BBOND_02Y_G1;BID;BID12203;401010;;850153;97150,05334;100000;0,081;45154;45202;;FALSE;;FALSE;;
CBOND_BBC_FIN_COL-CTG-4505845149;PVIAM;CBOND_BBC_FIN_COL;CTG;CTG;401010;;10;9901759;10000000;0,08;45058;45149;;FALSE;;FALSE;;
CBOND_BBC_BANK_GUA-HBC-4458845684;PVIAM;CBOND_BBC_BANK_GUA;HBC;HBC;151020;;100;1000000000;1000000000;0,091;44588;45684;;TRUE;HBC;FALSE;;
BBOND_02Y_G1-HDBL2431002-4564648006;PVIAM;BBOND_02Y_G1;HDB;HDBL2431002;401010;;100;1038089030;1000000000;0,07475;45646;48006;;FALSE;;FALSE;;
BBOND_02Y_G1-HDBC7Y202301-4537847933;VinaCapital;BBOND_02Y_G1;HDB;HDBC7Y202301;401010;;1000000;100000;100000;0,07575;45378;47933;;FALSE;;FALSE;;
BBOND_02Y_G1-HDBC7Y202301-4537747933;VinaCapital;BBOND_02Y_G1;HDB;HDBC7Y202301;401010;;1520000;100000;100000;0,07575;45377;47933;;FALSE;;FALSE;;
CBOND_BBC_FIN_COL-HDB-4509945190;VinaCapital;CBOND_BBC_FIN_COL;HDB;HDB;401010;;10;957730137;1000000000;0,08;45099;45190;;FALSE;;FALSE;;
BBOND_02Y_G1-HDBL2431002-4545048006;VinaCapital;BBOND_02Y_G1;HDB;HDBL2431002;401010;;1;1000000000;1000000000;0,07475;45450;48006;;FALSE;;FALSE;;
BBOND_02Y_G1-HDBL2129009-4513545237;VinaCapital;BBOND_02Y_G1;HDB;HDBL2129009;401010;;70;1008264932;1000000000;0,081;45135;45237;;FALSE;;FALSE;;
BBOND_02Y_G1-HDBL2230001-4513545208;VinaCapital;BBOND_02Y_G1;HDB;HDBL2230001;401010;;99;966163014;1000000000;0,081;45135;45208;;FALSE;;FALSE;;
BBOND_02Y_G1-HDB124006-4552447934;VinaCapital;BBOND_02Y_G1;HDB;HDB124006;401010;;200000;102228;100000;0,07575;45524;47934;;FALSE;;FALSE;;
BBOND_02Y_G1-HDBC7Y202301-4552447933;VinaCapital;BBOND_02Y_G1;HDB;HDBC7Y202301;401010;;480000;102955;100000;0,07575;45524;47933;;TRUE;HDB;FALSE;;
BBOND_02Y_G1-HDBC7Y202301-4555847934;VinaCapital;BBOND_02Y_G1;HDB;HDBC7Y202301;401010;;1800000;105328;100000;0,07475;45558;47934;;FALSE;;FALSE;;
