Mã;Tên loại tài sản;Tên tiếng Anh;Loại sản phẩm lv1;Loại sản phẩm lv1 - Tên tiếng Anh;Loại sản phẩm lv2;Loại sản phẩm lv2 - Tên tiếng Anh;Portfolio;IFRS Purpose;Ghi chú;Đơn vị cơ sở
REAL_ESTATE;Bất động sản;Real Estate;Bất động sản;Real Estate;Bất động sản;Real Estate;;;;
CDS_FIN;Chứng chỉ Tiền gửi của công ty Tài chính;Certificates of deposit of finance/leasing companies;Tiền gửi;Deposit;Chứng chỉ Tiền gửi của công ty Tài chính;Certificates of deposit of finance/leasing companies;DEPO;LOAN;;
CDS_BANK;Chứng chỉ tiền gửi của Ngân hàng thương mại và chi nhánh ngân hàng nước ngoài;Certificate of deposits of commercial banks and foreign bank branches;Tiền gửi;Deposit;Chứng chỉ tiền gửi của Ngân hàng thương mại và chi nhánh ngân hàng nước ngoài;Certificate of deposits of commercial banks and foreign bank branches;DEPO;LOAN;;
EQUITY_UNL;Cổ phiếu chưa niêm yết;Unlisted shares;Vốn góp cổ phần;Equity;Cổ phiếu chưa niêm yết;Unlisted shares;PEST;AFS;;
EQUITY_NVN30;Cổ phiếu niêm yết ngoài VN30;Listed shares outside VN30;Vốn góp cổ phần;Equity;Cổ phiếu niêm yết ngoài VN30;Listed shares outside VN30;LIST;AFS;;
EQUITY_VN30;Cổ phiếu niêm yết VN30;Listed shares VN30;Vốn góp cổ phần;Equity;Cổ phiếu niêm yết VN30;Listed shares VN30;LIST;AFS;;
FSE_SHARE_BBC;Cổ phiếu/Phần vốn góp có cam kết mua lại, repo;Shares/Capital contributions with buy back commitment;Dịch vụ tài chính;Financial Services;Cổ phiếu/Phần vốn góp có cam kết mua lại, repo;Shares/Capital contributions with buy back commitment;PEST;AFS;;
INFRA;Đầu tư cơ sở hạ tầng tiện ích;Investment in Infrastructure and Utilities;Đầu tư cơ sở hạ tầng tiện ích;Investment in Infrastructure and Utilities;Đầu tư cơ sở hạ tầng tiện ích;Investment related to other shares;;;;
EQUITY_OTH;Đầu tư liên quan cố phiếu khác;Investment related to other shares;Vốn góp cổ phần;Equity;Đầu tư liên quan cổ phiếu khác;Investment related to other shares;PEST;AFS;;
FSE_OTHER;DVTC khác;Other Financial Services;Dịch vụ tài chính;Financial Services;DVTC khác;Other Financial Services;PEST;AFS;;
DEP_TERM;Hợp đồng Tiền gửi có kỳ hạn;Term deposits;Tiền gửi;Deposit;Hợp đồng Tiền gửi có kỳ hạn;Term deposits;DEPO;LOAN;;
FSE_SHARE_COP;Hợp tác kinh doanh cổ phiếu;Shares business corporation;Dịch vụ tài chính;Financial Services;Hợp tác kinh doanh cổ phiếu;Shares business corporation;PEST;AFS;;
